Hi,
 
---------------------------------------------
                  Noise Ratio   
---------------------------------------------
ObsID   OrbitID    Quadrant    DetID   PixID   
---------------------------------------------
5432    39070      D = 26.99%    12     235 
5432    39071      D = 38.60%    12     235 
5432    39074      C = 5.51%     15     208 
5432    39076      C = 6.61%     15     208 
5432    39076      D = 8.56%     12     235 
5432    39079      C = 14.81%    15     208 
5432    39080      C = 6.90%     15     208 
5432    39084      C = 5.52%     15     208 
5432    39087      D = 11.09%    6      239 
5432    39088      C = 11.05%    15     208 
5432    39100      D = 12.92%    5      222 
5432    39101      D = 5.60%     5      222 
5432    39105      D = 8.99%     9      49  
5432    39111      D = 6.94%     12     235 
5432    39112      D = 7.03%     2      153 
5434    39117      D = 7.60%     12     235 
5434    39118      D = 10.03%    12     235 
5434    39119      D = 7.05%     12     235 
5434    39125      D = 9.26%     12     235 
5434    39126      D = 11.05%    12     235 
5438    39129      D = 13.45%    12     235 
5438    39130      D = 12.89%    12     235 
5438    39132      D = 39.46%    12     235 
5442    39136      C = 16.90%    9      187 
5442    39136      D = 33.24%    12     235 
5442    39137      C = 10.92%    9      187 
5442    39137      D = 23.81%    12     235 
5442    39141      D = 6.88%     12     235 
5442    39144      D = 8.17%     12     235 
5440    39132      D = 41.99%    12     235 
5440    39133      C = 5.66%     9      187 
5440    39133      D = 34.73%    12     235 
5440    39136      C = 13.72%    9      187 
5440    39136      D = 47.77%    12     235 
5440    39137      C = 10.90%    9      187 
5440    39137      D = 37.94%    12     235 
5436    39127      D = 5.04%     12     235 
5436    39128      D = 8.74%     12     235 
5436    39129      D = 47.74%    12     235 
5444    39144      D = 19.73%    12     235 
5444    39145      D = 13.99%    12     235 
5444    39146      D = 20.31%    12     235 
5444    39147      D = 8.29%     12     235 
5444    39151      D = 5.41%     12     235 
5444    39157      B = 5.81%     5      184 
5444    39158      B = 5.94%     5      184 
5444    39158      D = 8.90%     12     235 
5444    39159      D = 36.38%    12     235 
5444    39160      D = 31.29%    12     235 
5444    39161      D = 30.13%    12     235 
5444    39162      D = 41.36%    12     235 
5444    39163      D = 31.84%    12     235 
5444    39165      D = 41.30%    12     235 
5444    39166      D = 33.49%    12     235 
5444    39167      D = 26.56%    12     235 
5444    39169      D = 30.85%    12     235 
5444    39170      D = 31.65%    12     235 
5444    39171      D = 13.89%    12     235 
5444    39172      D = 19.43%    12     235 
5444    39173      D = 36.74%    12     235 
5444    39174      D = 37.25%    12     235 
5444    39175      D = 24.66%    12     235 
5444    39176      D = 19.86%    12     235 
5444    39177      D = 23.99%    12     235 
5444    39181      D = 34.50%    12     235 
